,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-DK-A3IQ,0.5375535,0.34967366,-0.3197882,-0.08416645,-1.391257,-0.7759187,0.3449259,0.81517446,0.06626951,1.4604193,-0.4048715,-0.17889307,-0.91508454,-0.8576717,0.99979496,-0.5062165,0.5937954,0.1728937,-0.6550896,-0.5970283,0.54039973,0.8429594,-1.379978,-0.28470063,Stroma-rich
TCGA-DK-A3IS,-2.4889457,1.413163,0.36455834,0.88413966,-3.0866485,1.0379636,2.4051528,2.301649,0.9632255,0.14641003,1.1012135,-2.406054,-0.7915166,0.7663645,1.4117416,-0.06746572,0.37376156,-1.1061317,-0.91941905,-3.1451602,1.1952269,0.37615284,-0.8143662,-0.7506555,LumP
TCGA-DK-A3IT,-0.60420567,0.7867526,0.4548641,0.7886107,-2.2240934,0.16608113,0.6708499,1.4631077,0.42975783,0.35579672,0.4565751,-0.5697201,-0.8205187,-0.7900907,0.5114409,-0.31008503,0.6306424,-0.50438356,-1.155679,-1.2603896,0.88691026,0.87407297,-0.66166544,-0.48303828,LumNS
TCGA-DK-A3IU,0.5568529,-0.13453528,0.012618365,0.067202464,-1.1829326,-0.4451764,0.5281889,0.96030533,-0.26530215,1.4499879,-0.19434103,-0.068782344,-0.6808624,-0.80628777,0.8820689,-0.09581044,0.51776737,-0.09281696,-0.2288862,-0.9218379,0.9965693,0.8677026,-0.65752697,-0.55365026,Ba/Sq
TCGA-DK-A3IV,-2.503507,0.59565485,-0.11803821,1.2130166,-1.549815,1.3261607,1.1881754,2.1918647,-0.06603225,-0.39833537,0.44497612,-0.9327718,-0.19771612,-0.5810374,0.832572,-0.03155008,1.772433,0.07726314,-1.5318286,-0.9041767,0.3181321,0.02225244,0.47771353,0.84962165,LumU
TCGA-DK-A3WW,0.09751186,0.3143083,0.9135013,1.3117375,-4.05992,-0.15483612,1.2407727,2.1258352,1.2486014,1.7770863,0.2878129,-0.6674684,-1.4100745,-1.2090998,1.2880491,-0.13221118,0.28673732,-0.99047285,-1.0083992,-3.0004532,2.7587636,1.9967643,-0.94888717,-1.8634509,Ba/Sq
TCGA-DK-A3WX,0.059135288,0.46743834,0.47835952,1.5651488,-2.3227868,-0.0022012219,0.42383024,1.7862316,0.30946139,0.68270814,0.25631976,-0.318402,-0.87116873,-1.6387205,0.7481381,-0.5678495,0.6267099,-0.7055748,-0.77302563,-1.7382061,1.5578003,1.6064388,-0.103748545,-1.0750647,Ba/Sq
TCGA-DK-A3WY,0.53441745,-0.3203262,-0.06310609,-0.1756866,-1.0290307,-0.459284,0.7201662,0.84335244,-0.26484168,1.5638961,-0.24620306,-0.1443366,-0.5888833,-0.5588385,0.8031197,-0.04586816,0.40925837,-0.109680615,-0.30335987,-0.9336153,0.9342997,0.845526,-0.7390001,-0.42028412,Stroma-rich
TCGA-DK-A3X1,-0.9454429,1.2208316,0.11120513,-0.096671924,-3.6117525,-0.20032696,1.3757006,1.6780732,1.3040645,1.2766771,0.719245,-1.544009,-1.5672141,-0.113530725,1.0132577,0.14370161,0.23417813,0.0948864,-1.7115388,-2.3172507,1.054567,0.5129756,-2.22192,-0.2783925,LumP
TCGA-DK-A3X2,-1.810039,0.8649127,0.6027547,1.5482056,-2.6377604,1.2076476,1.2343699,2.391749,0.3080324,-0.24015442,0.6203784,-0.76941705,-0.5188161,-0.867761,0.57008785,-0.16982283,1.0295918,-0.6422386,-1.4247898,-1.8058182,1.2490733,0.91875565,0.33911705,-0.29820943,Ba/Sq
TCGA-DK-A6AV,-0.52500755,1.4586943,0.33750528,0.5443157,-4.123915,-0.3774767,1.0363791,1.9644163,1.3159803,1.3178262,0.4844807,-1.2296175,-1.7558883,-0.6069722,1.2485455,-0.37163353,0.41249195,-0.17294872,-2.1242194,-2.4507792,1.1918075,0.986984,-2.1550965,-0.5852495,LumP
TCGA-DK-A6B0,-2.7035995,0.79533416,-0.45506,-0.12055321,-2.859715,0.008426219,2.9247212,1.9629538,1.3473275,0.579216,1.4878962,-3.5769093,-1.3603023,1.5681264,1.4830091,0.014926016,-0.07017082,-0.28225663,-1.3968211,-3.4100854,0.27311617,-0.1865868,-1.6979569,-0.007875085,LumP
TCGA-DK-A6B1,-2.6048677,0.701661,-0.14421253,0.5503985,-1.6559594,1.2803422,1.4647449,2.0612571,0.35919303,-0.09780443,0.69063735,-1.7585292,-0.6242417,0.11276862,1.121113,-0.15922317,1.472625,0.25934416,-1.4909629,-1.4357296,-0.037018135,-0.5782564,-0.42908072,0.9949237,LumU
TCGA-DK-A6B2,-0.43384194,0.63413066,0.18632245,0.5426132,-1.628061,0.073631,0.4447096,1.2927934,0.17163059,0.3925742,0.21872225,-0.39663342,-0.72469896,-0.97443545,0.5384724,-0.37574586,0.9444892,-0.0055991635,-1.2324985,-0.71802783,0.39507318,0.76035476,-0.63727504,-0.039164633,LumNS
TCGA-DK-A6B5,-0.52700543,0.34756884,0.22600266,0.35750365,-1.3608378,0.21259984,0.96323985,0.98952067,0.26194584,0.39030552,0.3283225,-0.81968474,-0.39671326,-0.20823061,0.47220016,-0.23057392,0.4700068,-0.5857426,-0.5323297,-1.1811857,0.7151581,0.68510985,-0.25922516,-0.56549746,Ba/Sq
TCGA-DK-A6B6,-1.4419664,1.8901768,-0.37063062,0.896255,-3.5375073,-0.69807875,1.3024462,2.0539773,0.96989155,0.6744988,1.0054607,-2.2323184,-2.113128,-0.5695033,1.1774777,-0.47910294,0.67936224,-0.059337668,-2.3499541,-2.0284646,0.3031252,0.34987748,-1.7244303,-0.064741835,LumP
TCGA-DK-AA6L,-0.4172819,0.7875336,0.08568327,-0.001137808,-2.7307708,-0.23941001,1.1038234,1.3852558,0.82464993,1.1588926,0.51641953,-1.2456115,-1.3710905,-0.26098862,1.0086951,-0.08632228,0.2551363,-0.048931323,-1.1406761,-1.8060275,0.7837508,0.60755163,-1.7328268,-0.34917802,Ba/Sq
TCGA-DK-AA6M,0.38517687,-0.056665458,0.20321286,-0.38574034,-3.3246853,-0.72138816,1.2991312,1.495851,0.77182347,2.844237,-0.28442666,-0.48728552,-1.5299462,-0.2861254,1.4723233,0.36843088,0.24529298,0.04010663,-1.1163213,-2.3873413,1.8548956,1.2608292,-2.2654316,-0.8208722,Ba/Sq
TCGA-DK-AA6P,-1.6969113,1.794266,-0.07448648,0.925264,-3.3845994,-0.20116955,1.2439997,2.1292675,0.98191154,0.37027404,1.0266521,-2.0053205,-1.7771537,-0.68772125,0.99402094,-0.34973335,0.85733825,0.03556723,-2.3472638,-1.9522023,0.34691882,0.34888804,-1.4801208,0.090925634,LumP
